UnitID,Institution Name,Sector of institution (HD2018),Level of institution (HD2018),Control of institution (HD2018),Degree-granting status (HD2018),Degree of urbanization (Urban-centric locale) (HD2018),Tribal college (HD2018),Historically Black College or University (HD2018),Graduation rate  total cohort (DRVGR2017_RV),Graduation rate  men (DRVGR2017_RV),Graduation rate  women (DRVGR2017_RV),Graduation rate  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate  Asian/Native Hawaiian/Other Pacific Islander (DRVGR2017_RV),Graduation rate  Asian (DRVGR2017_RV),Graduation rate  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate  Black  non-Hispanic (DRVGR2017_RV),Graduation rate  Hispanic (DRVGR2017_RV),Graduation rate  White  non-Hispanic (DRVGR2017_RV),Graduation rate  Nonresident alien (DRVGR2017_RV),Graduation rate  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 4 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  men (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  women (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian/Native Hawaiian/Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Black  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  White  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Nonresident alien (DRVGR2017_RV)
110468,Alliant International University-San Diego,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
490081,America Evangelical University,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,20.0,25.0,17.0,,25.0,25.0,,,,,0.0,,,10.0,20.0,25.0,17.0,,25.0,25.0,,,,,,,0.0
108852,American Academy of Dramatic Arts-Los Angeles,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,Degree-granting,City: Large,No,No,69.0,76.0,65.0,,0.0,0.0,0.0,92.0,38.0,66.0,86.0,,61.0,,,,,,,,,,,,,,
108861,American Baptist Seminary of the West,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Midsize,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
108977,American Beauty College,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
441052,American Career College-Anaheim,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,City: Large,No,No,65.0,56.0,67.0,,77.0,76.0,83.0,48.0,63.0,63.0,100.0,75.0,61.0,,,,,,,,,,,,,,
109040,American Career College-Los Angeles,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,City: Large,No,No,70.0,62.0,73.0,100.0,84.0,82.0,100.0,46.0,72.0,65.0,,75.0,43.0,,,,,,,,,,,,,,
447768,American Career College-Ontario,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,City: Midsize,No,No,71.0,67.0,73.0,100.0,69.0,70.0,50.0,65.0,74.0,62.0,,50.0,69.0,,,,,,,,,,,,,,
483009,American College of Healthcare and Technology,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,70.0,80.0,69.0,,100.0,,100.0,56.0,71.0,100.0,,,,,,,,,,,,,,,,,
422835,American College of Healthcare and Technology,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,"Nondegree-granting, primarily postsecondary",City: Large,No,No,85.0,78.0,87.0,100.0,67.0,67.0,,78.0,89.0,76.0,,90.0,100.0,,,,,,,,,,,,,,
